room,title,area_archive,frame,image,frame_offset,frame_length,cd_track,se_bank
92,WHITE CLIFFS BEACH,BRIV.CGL,4,BRIV_04.png,106224,27520,6,SERIV
93,BAT ROOM,BMIN.CGL,1,BMIN_01.png,24336,24392,31,SEMINA
94,DEAD END,BMIN.CGL,5,BMIN_05.png,130044,25596,18,SEMINA
95,GAS ROOM,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
96,LADDER BOTTOM,BMIN.CGL,3,BMIN_03.png,75476,29632,18,SEMINB
97,LADDER TOP,BMIN.CGL,4,BMIN_04.png,105108,24936,18,SEMINB
98,DRAFTY ROOM,BMIN.CGL,7,BMIN_07.png,180704,33076,18,SEMINA
99,MACHINE ROOM,BMIN.CGL,8,BMIN_08.png,213780,21868,18,SEMINA
100,MINE ENTRANCE,BMIN.CGL,0,BMIN_00.png,0,24336,18,SEMINA
101,SHAFT ROOM,BMIN.CGL,2,BMIN_02.png,48728,26748,18,SEMINA
102,FOUL ROOM,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
103,SQUEAKY ROOM,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
104,TIMBER ROOM,BMIN.CGL,6,BMIN_06.png,155640,25064,18,SEMINA
105,COAL MINE,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
106,COAL MINE,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
107,COAL MINE,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
108,COAL MINE,BMIN.CGL,1,BMIN_01.png,24336,24392,18,SEMINA
109,SLIDE ROOM,BCEL.CGL,2,BCEL_02.png,55652,29776,0,SECEL
