class,id,reading,english,source
noun,0x0296,たんけん,STILETTO,direct
noun,0x0297,すいっち,SWITCH,direct
noun,0x0298,てーぶる,TABLE,direct
noun,0x029a,どろぼう,THIEF,direct
noun,0x029c,もくざい,TIMBER,direct
noun,0x029d,どうぐ箱,TOOL,direct
noun,0x02a0,たいまつ,TORCH,direct
noun,0x02a1,かくし扉,DOOR,direct
noun,0x02a2,かくし戸,DOOR,direct
noun,0x02a2,かくしど,DOOR,direct
noun,0x02a2,ざいほう,TREASURE,direct
noun,0x02a3,とらんく,TRUNK,direct
noun,0x02a9,ちゅーぶ,TUBE,direct
noun,0x02aa,かきこみ,,
noun,0x02b0,ふーばー,,
noun,0x02b6,みずうみ,,
noun,0x02b8,あおいろ,BLUE,direct
noun,0x02be,ちゃいろ,BROWN,direct
noun,0x02bf,あかいろ,RED,direct
noun,0x02c1,おうどう,BRASS,direct
noun,0x02c2,えじぷと,CRYSTAL,id-prop
noun,0x02c4,えなめる,,
noun,0x02c5,きんぞく,,
noun,0x02cd,ＺＯＲＫ,,
noun,0x02d1,もう一度,,
noun,0x02d3,こだいの,ANCIENT,direct
noun,0x01f6,さいふ,PRAYER,id-prop
noun,0x01fc,はもの,KNIFE,direct
noun,0x0205,いのり,PRAYER,direct
noun,0x0206,ぼーと,CANARY,id-prop
noun,0x0208,したい,BODY,direct
noun,0x0209,ぼると,BOLT,direct
noun,0x020a,ぼとる,BOTTLE,direct
noun,0x020e,ぼたん,BUTTON,direct
noun,0x0216,けーす,CASE,direct
noun,0x021b,ひつぎ,COFFIN,direct
noun,0x021c,こいん,,
noun,0x0223,ようき,,
noun,0x0224,きれつ,CRACK,direct
noun,0x0226,こっぷ,,
noun,0x0227,とびら,DOOR,direct
noun,0x022d,しずく,,
noun,0x022e,たまご,EGG,direct
noun,0x0231,ちから,,
noun,0x023c,げーと,,
noun,0x023f,じめん,GROUND,direct
noun,0x0243,ぐるー,GLUE,direct
noun,0x0244,Ｈ２Ｏ,GLASS,id-prop
noun,0x0247,あたま,HOUSE,id-prop
noun,0x0249,ぞうげ,PATH,id-prop
noun,0x024e,ないふ,KNIFE,direct
noun,0x0251,らべる,LABEL,direct
noun,0x0252,はしご,LADDER,direct
noun,0x0253,らんぷ,LAMP,direct
noun,0x0254,おちば,LEAVES,direct
noun,0x0255,きざみ,CARVING,direct
noun,0x0258,あかり,LAMP,direct
noun,0x0259,ましん,MACHINE,direct
noun,0x025c,おとこ,MAIL,id-prop
noun,0x025f,まっぷ,MAP,direct
noun,0x0261,まっち,MATCH,direct
noun,0x0262,かがみ,MIRROR,direct
noun,0x0265,みらー,MIRROR,direct
noun,0x0265,なっと,MIRROR,id-prop
noun,0x026a,ぺーじ,,
noun,0x026c,ぱねる,PANEL,direct
noun,0x026e,こみち,PATH,direct
noun,0x0272,つうろ,PASSAGE,direct
noun,0x0272,だいざ,PEDESTAL,direct
noun,0x0274,ぶぶん,,
noun,0x0276,ぱいぷ,AXE,id-prop
noun,0x0279,ぽんぷ,PUMP,direct
noun,0x027e,いかだ,,
noun,0x0280,てすり,RAILING,direct
noun,0x0281,いたい,RAILING,id-prop
noun,0x0283,したい,BODY,direct
noun,0x0283,ろーぷ,ROPE,direct
noun,0x0287,ふくろ,SACK,direct
noun,0x0289,すいふ,SAILOR,direct
noun,0x028a,しゃく,SCEPTRE,direct
noun,0x028f,じぶん,SILVER,id-prop
noun,0x0290,どくろ,SKULL,direct
noun,0x0293,つるぎ,SWORD,direct
noun,0x0299,こうぐ,TOOL,direct
noun,0x029f,とーち,TORCH,direct
noun,0x02a1,はやし,FOREST,direct
noun,0x02a6,とろる,TROLL,direct
noun,0x02a8,ばるぶ,,
noun,0x02ab,こまど,WINDOW,direct
noun,0x02ae,れんち,WRENCH,direct
noun,0x02af,くさり,,
noun,0x02b3,さけ目,CRACK,direct
noun,0x02b4,さけめ,CRACK,direct
noun,0x02b4,どーむ,DOME,direct
noun,0x02b5,におい,,
noun,0x02ba,おがわ,STREAM,direct
noun,0x02bb,てがみ,SMELLY,id-prop
noun,0x02bc,ちゃ色,BROWN,direct
noun,0x02bf,きいろ,YELLOW,direct
noun,0x02c0,ほのお,RED,id-prop
noun,0x02c6,がらす,GLASS,direct
noun,0x02c7,みどり,GREEN,direct
noun,0x02c8,まほう,MAGIC,direct
noun,0x02cb,どうぐ,TOOL,direct
noun,0x02d0,ぞーく,,
noun,0x02d1,からの,,
noun,0x01fb,ぼう,BAR,direct
noun,0x01fd,つか,BARROW,direct
noun,0x01fe,かご,BASKET,direct
noun,0x01ff,べる,BELL,direct
noun,0x0203,とり,,
noun,0x0204,いた,BOARD,direct
noun,0x0207,ほね,,
noun,0x020b,ほん,BOOK,direct
noun,0x020c,はこ,,
noun,0x020f,えだ,CHALICE,id-prop
noun,0x0211,いき,,
noun,0x0212,むし,,
noun,0x0214,ぶい,BUOY,direct
noun,0x0215,ふた,,
noun,0x0225,だむ,DAM,direct
noun,0x0229,つち,,
noun,0x022c,どあ,DOOR,direct
noun,0x022d,ぞう,,
noun,0x0238,ゆか,NEST,id-prop
noun,0x0239,もり,FOREST,direct
noun,0x023d,もん,WATER,id-prop
noun,0x023f,きん,GOLD,direct
noun,0x0241,くず,,
noun,0x0246,みず,WATER,direct
noun,0x0247,いえ,HOUSE,direct
noun,0x024b,それ,RIVER,id-prop
noun,0x024d,かぎ,KEY,direct
noun,0x0250,もれ,LEAK,direct
noun,0x0256,はい,LEAK,id-prop
noun,0x025b,かれ,,
noun,0x025f,ちず,MAP,direct
noun,0x0261,やま,MOUNTAIN,direct
noun,0x0267,くち,BODY,id-prop
noun,0x0268,かみ,PAPER,direct
noun,0x026f,みち,PATH,direct
noun,0x0272,ひと,PASSAGE,id-prop
noun,0x0275,くい,RIVER,id-prop
noun,0x0277,つぼ,POT,direct
noun,0x027c,さく,BROWN,id-prop
noun,0x0281,にじ,RAINBOW,direct
noun,0x0282,かわ,RIVER,direct
noun,0x0285,すな,SAND,direct
noun,0x028b,つえ,,
noun,0x028f,ぎん,SILVER,direct
noun,0x0292,けん,SWORD,direct
noun,0x0299,はか,TOOL,id-prop
noun,0x029e,かべ,WALL,direct
noun,0x02ad,まど,WINDOW,direct
noun,0x02ae,がす,GAS,direct
noun,0x02b7,くぎ,,
noun,0x02b9,くろ,BLACK,direct
noun,0x02bd,あお,BLUE,direct
noun,0x02be,ちゃ,BROWN,direct
noun,0x02bf,き色,YELLOW,direct
noun,0x02c0,あか,RED,direct
noun,0x02c1,いわ,BRASS,id-prop
noun,0x02ce,いし,,
noun,0x02cf,いろ,,
noun,0x02d2,きた,WEST,id-prop
noun,0x0219,て,COFFIN,id-prop
noun,0x0248,は,MOUNTAIN,id-prop
noun,0x0255,す,CARVING,id-prop
noun,0x0269,は,SACK,id-prop
noun,0x029b,き,,
noun,0x02a5,Ｇ,,
noun,0x02d3,Ｎ,ANCIENT,id-prop
noun,0x02d4,リスタート,BROKEN,id-prop
noun,0x0246,ボートの穴,LEAK,direct
noun,0x02d4,ボロボロの,BROKEN,id-prop
noun,0x0235,握る,GRIP,direct
noun,0x0237,一対,GRATING,id-prop
noun,0x026d,遺体,BODY,direct
noun,0x0283,暗い,BODY,id-prop
noun,0x02a2,壊れている,BROKEN,direct
noun,0x02a2,隠し戸,DOOR,id-prop
noun,0x02a2,隠しど,DOOR,id-prop
noun,0x02a2,黄いろ,DOOR,id-prop
noun,0x02c0,壊れた,BROKEN,direct
noun,0x0206,煙突,CHIMNEY,direct
noun,0x021e,黄金,GOLD,direct
noun,0x0241,液体,,
noun,0x025a,怪物,MACHINE,id-prop
noun,0x0266,黄色,YELLOW,direct
noun,0x02c0,黄銅,BRASS,direct
noun,0x02c2,鋭い,CRYSTAL,id-prop
noun,0x024a,家,HOUSE,direct
noun,0x024b,河,RIVER,direct
noun,0x0284,黄,YELLOW,direct
noun,0x02c0,炎,RED,id-prop
noun,0x02c6,下,GLASS,id-prop
noun,0x0230,危険な,EMERALD,id-prop
noun,0x0220,岩柵,CLIFF,id-prop
noun,0x0257,岩棚,LEDGE,direct
noun,0x0257,骸骨,SKELETON,direct
noun,0x0293,階段,STAIRCASE,direct
noun,0x0296,絵,PAINTING,direct
noun,0x0219,棺,COFFIN,direct
noun,0x021c,蓋,,
noun,0x0225,革,LEATHER,direct
noun,0x02ca,岩,,
noun,0x027d,近付きがたい,CLOCKWORK,id-prop
noun,0x01f7,空気ポンプ,PUMP,direct
noun,0x01f7,祈りの言葉,PRAYER,direct
noun,0x027d,近付き難い,CLOCKWORK,id-prop
noun,0x027d,吸血鬼の,CLOCKWORK,id-prop
noun,0x027d,吸血鬼,CLOCKWORK,id-prop
noun,0x02ac,巨大な,,
noun,0x01f6,祈り,PRAYER,direct
noun,0x0206,亀裂,CRACK,direct
noun,0x0226,巨大,,
noun,0x0234,強盗,THIEF,direct
noun,0x0286,金属,SAILOR,id-prop
noun,0x02cd,空の,,
noun,0x0241,屑,,
noun,0x0246,鏡,MIRROR,direct
noun,0x0265,銀,SILVER,direct
noun,0x024a,古代の,ANCIENT,direct
noun,0x0250,口,LEAK,id-prop
noun,0x0268,剣,SWORD,direct
noun,0x0299,湖,TOOL,id-prop
noun,0x01f5,祭壇,ALTAR,direct
noun,0x01f8,財布,BARROW,id-prop
noun,0x01fc,刻み,CARVING,direct
noun,0x0258,工具,TOOL,direct
noun,0x029f,財宝,TREASURE,direct
noun,0x02a3,黒い,BLACK,direct
noun,0x020b,刻,CARVING,direct
noun,0x0258,杭,MANUAL,id-prop
noun,0x0277,柵,POT,id-prop
noun,0x0281,砂,SAND,direct
noun,0x028b,鎖,,
noun,0x02b3,黒,BLACK,direct
noun,0x0263,紙マッチ,MATCH,direct
noun,0x0263,灼熱した,MATCH,id-prop
noun,0x0281,死んだ,DEAD,direct
noun,0x0209,山脈,MOUNTAIN,direct
noun,0x0267,死体,BODY,direct
noun,0x0283,自分,BODY,id-prop
noun,0x0290,手紙,SKULL,id-prop
noun,0x02bc,次に,BROWN,id-prop
noun,0x0211,雫,,
noun,0x022e,手,EGG,id-prop
noun,0x0248,山,MOUNTAIN,direct
noun,0x0267,紙,PAPER,direct
noun,0x026f,歯,TEETH,direct
noun,0x02b0,消して,,
noun,0x024e,小道,PATH,direct
noun,0x0272,松林,FOREST,direct
noun,0x0278,小窓,WINDOW,direct
noun,0x02ae,小川,STREAM,direct
noun,0x02bb,臭い,SMELLY,direct
noun,0x0239,杖,FOREST,id-prop
noun,0x028f,上,SILVER,id-prop
noun,0x027a,折りたたんだびにーる,PLASTIC,direct
noun,0x027a,折畳んだビニール,PLASTIC,direct
noun,0x027a,折畳んだびにーる,PLASTIC,direct
noun,0x027a,真っ赤に焼けた,PLASTIC,id-prop
noun,0x0295,植民地の,TOOL,id-prop
noun,0x0256,水もれ,LEAK,direct
noun,0x0256,説明書,LEAFLET,direct
noun,0x0260,接着剤,GLUE,direct
noun,0x0264,青い鳥,SONGBIRD,direct
noun,0x0295,澄んだ,TOOL,id-prop
noun,0x01fe,刃物,KNIFE,direct
noun,0x0205,絶壁,CLIFF,direct
noun,0x0220,石炭,COAL,direct
noun,0x0222,食事,,
noun,0x022b,食料,,
noun,0x023a,水門,GUIDEBOOK,id-prop
noun,0x023f,水夫,SAILOR,direct
noun,0x028a,青色,BLUE,direct
noun,0x02be,赤色,RED,direct
noun,0x02c1,水晶,CRYSTAL,direct
noun,0x02c3,青い,BLUE,direct
noun,0x023d,水,WATER,direct
noun,0x0247,人,HOUSE,id-prop
noun,0x0275,川,RIVER,direct
noun,0x0284,青,BLUE,direct
noun,0x02be,赤,RED,direct
noun,0x02c1,石,STONE,direct
noun,0x02cf,色,,
noun,0x02d2,西,WEST,direct
noun,0x028a,船のり,SAILOR,direct
noun,0x028a,大理石,SCARAB,id-prop
noun,0x02cc,大きい,LARGE,direct
noun,0x026b,台座,PEDESTAL,direct
noun,0x0274,大量,,
noun,0x027f,台所,KITCHEN,direct
noun,0x02c9,前の,,
noun,0x0212,像,,
noun,0x0238,巣,NEST,direct
noun,0x0269,袋,SACK,direct
noun,0x0289,窓,WINDOW,direct
noun,0x023b,茶いろい,,
noun,0x023b,茶いろ,,
noun,0x02bf,貯水池,RESERVOIR,direct
noun,0x02d5,茶色い,BROWN,direct
noun,0x0233,地面,GROUND,direct
noun,0x0243,梯子,LADDER,direct
noun,0x0253,地図,MAP,direct
noun,0x0261,通路,PASSAGE,direct
noun,0x0272,短剣,STILETTO,direct
noun,0x0297,茶色,BROWN,direct
noun,0x02bf,長い,RED,id-prop
noun,0x01fe,鳥,BAT,id-prop
noun,0x0204,虫,BOARD,id-prop
noun,0x0214,男,BUOY,id-prop
noun,0x025f,壷,POT,direct
noun,0x027c,茶,BROWN,direct
noun,0x02a0,答える,ANSWER,direct
noun,0x0242,頭蓋骨,SKULL,direct
noun,0x0294,道具箱,TOOL,direct
noun,0x02a0,東洋の,ZORKMIDS,id-prop
noun,0x029c,道具,TOOL,direct
noun,0x02d0,南西,,
noun,0x022c,滴,DOOR,id-prop
noun,0x022e,頭,EGG,id-prop
noun,0x0249,道,PATH,direct
noun,0x0272,虹,RAINBOW,direct
noun,0x0282,釘,RIVER,id-prop
noun,0x02b9,南,BLACK,id-prop
noun,0x01f9,美しい,LEAFLET,id-prop
noun,0x024c,熱い,,
noun,0x0207,箱,,
noun,0x020f,杯,CHALICE,direct
noun,0x021d,扉,DOOR,direct
noun,0x022d,肺,,
noun,0x025b,彼,,
noun,0x025f,皮,MAP,id-prop
noun,0x024f,物質,LEAK,id-prop
noun,0x0264,部分,PRAYER,id-prop
noun,0x0276,斧,AXE,direct
noun,0x01fb,頁,BAR,id-prop
noun,0x026c,墓,PANEL,id-prop
noun,0x029e,壁,WALL,direct
noun,0x0281,木のてすり,RAILING,direct
noun,0x0281,鳴いている,RAILING,id-prop
noun,0x01f4,木製の,WOODEN,direct
noun,0x0259,木材,TIMBER,direct
noun,0x029d,魔法,MAGIC,direct
noun,0x02cb,北西,TOOL,id-prop
noun,0x01fd,本,BOOK,direct
noun,0x020c,門,,
noun,0x023f,木,TREE,direct
noun,0x02a4,北,,
noun,0x025e,溶かす,MELT,direct
noun,0x0255,郵便物,MAIL,direct
noun,0x025d,郵便箱,MAILBOX,direct
noun,0x025e,羊皮紙,GLUE,id-prop
noun,0x0270,裂け目,CRACK,direct
noun,0x02b4,裂けめ,CRACK,direct
noun,0x02b4,妖精の,ELVISH,direct
noun,0x0224,幽霊,GHOST,direct
noun,0x0240,両手,HANDS,direct
noun,0x0248,落葉,LEAVES,direct
noun,0x0255,郵便,MAIL,direct
noun,0x025d,緑色,GREEN,direct
noun,0x02c8,嵐の,KITCHEN,id-prop
noun,0x0231,力,,
noun,0x023c,葉,,
noun,0x0255,林,FOREST,direct
noun,0x02a6,緑,GREEN,direct
noun,0x0256,篭,BASKET,direct
adj,0x02ff,ほうせきをちりばめた,JEWELED,direct
adj,0x02ff,ＲＥＳＴＡＲＴして,JEWELED,id-prop
adj,0x02f1,こうかいにてきした,,
adj,0x0312,ＡＤＶＥＮＴして,BOARDED,id-prop
adj,0x02e1,ぜんまい仕掛けの,CLOCKWORK,direct
adj,0x02e3,ぜんまいじかけの,CLOCKWORK,direct
adj,0x02e3,ずたずたにされた,CLOCKWORK,id-prop
adj,0x0304,ぐらぐらしている,,
adj,0x030f,こうかいに適した,,
adj,0x0312,いたを打ちつけた,BOARDED,direct
adj,0x0331,いたをうちつけた,BOARDED,direct
adj,0x0331,りすたーとする,BOARDED,id-prop
adj,0x02e3,しょくみん地の,CLOCKWORK,id-prop
adj,0x02e4,しょくみんちの,TROPHY,id-prop
adj,0x02e4,ほこりだらけの,TROPHY,id-prop
adj,0x02e9,えるふのような,ELVISH,direct
adj,0x02eb,ぺしゃんこ頭の,STAND,id-prop
adj,0x02f1,ちかづきがたい,,
adj,0x02f2,ごしっくしきの,DEFLATE,id-prop
adj,0x02f5,けいたいようの,GRANITE,id-prop
adj,0x02f8,しゃくねつした,,
adj,0x02f9,まっかに焼けた,WHITE,id-prop
adj,0x02f9,まっかにやけた,WHITE,id-prop
adj,0x02f9,どっしりとした,WHITE,id-prop
adj,0x0305,じぶんじしんの,,
adj,0x030a,ひやけしている,,
adj,0x0321,やくにたたない,TRAP,id-prop
adj,0x0327,きゅうけつ鬼の,BLOW UP,id-prop
adj,0x0328,きゅうけつきの,,
adj,0x0328,ねばりけのある,,
adj,0x032a,がらすのような,GLASS,direct
adj,0x032b,しんだんする,WOODEN,id-prop
adj,0x02dd,こんらんした,BROWN,id-prop
adj,0x02e8,えるふの様な,ELVISH,direct
adj,0x02eb,かざりのある,STAND,id-prop
adj,0x02ec,ちかづき難い,HURT,id-prop
adj,0x02f2,しょうめんの,DEFLATE,id-prop
adj,0x02f4,ごしっく式の,,
adj,0x02f5,みかげいしの,GRANITE,direct
adj,0x02f6,けいたい用の,,
adj,0x02f8,めにみえない,,
adj,0x02fd,かくれている,,
adj,0x0303,ぽせいどんの,REACT,id-prop
adj,0x030c,あなの空いた,,
adj,0x030d,あなのあいた,RETREAT,id-prop
adj,0x030d,みすぼらしい,RETREAT,id-prop
adj,0x0313,いかがわしい,,
adj,0x0314,じゅんすいな,,
adj,0x0316,せんりひんの,TROPHY,direct
adj,0x0324,がらすしつの,GLASS,direct
adj,0x032b,まかれている,WOODEN,id-prop
adj,0x032e,りすたーと,LEAN,id-prop
adj,0x02d9,ちまみれの,BLOODY,direct
adj,0x02db,ぼろぼろの,BROKEN,id-prop
adj,0x02dd,ちゃいろい,BROWN,direct
adj,0x02de,もえつきた,PUT,id-prop
adj,0x02df,もえている,,
adj,0x02e0,ほそながい,BLAST,id-prop
adj,0x02ea,ようせいの,ELVISH,direct
adj,0x02eb,きょだいな,STAND,id-prop
adj,0x02ed,せいこうな,,
adj,0x02ef,ひややかな,,
adj,0x02f3,みかげ石の,GRANITE,direct
adj,0x02f6,とおれない,,
adj,0x02fb,ふくらんだ,,
adj,0x02fc,ほうせきの,JEWELED,direct
adj,0x02ff,おろされた,JEWELED,id-prop
adj,0x0302,とうようの,ATTACK,id-prop
adj,0x0309,こしょうの,CLIMB,id-prop
adj,0x030b,すくりゅー,,
adj,0x0311,ないている,,
adj,0x031b,ひやけした,COMMAND,id-prop
adj,0x0321,わなのある,TRAP,direct
adj,0x0323,とろふぃー,TROPHY,direct
adj,0x0324,さびてない,GLASS,id-prop
adj,0x0326,じゃあくな,REMOVE,id-prop
adj,0x0329,がらす質の,GLASS,direct
adj,0x032b,もくせいの,WOODEN,direct
adj,0x032f,くいっと,POLISH,id-prop
adj,0x02d6,こだいの,ANCIENT,direct
adj,0x02d7,こふうな,BLOODY,id-prop
adj,0x02d7,ち塗れの,BLOODY,direct
adj,0x02db,こわれた,BROKEN,direct
adj,0x02dd,ちゃ色い,BROWN,direct
adj,0x02de,りっぱな,PUT,id-prop
adj,0x02f0,ひすいの,JADE,direct
adj,0x02fe,おおきい,LARGE,direct
adj,0x0300,おおきな,LARGE,direct
adj,0x0300,ぶきみな,LARGE,id-prop
adj,0x0307,きけんな,OPEN UP,id-prop
adj,0x0307,するどい,OPEN UP,id-prop
adj,0x0315,しずかな,,
adj,0x0317,ふきつな,CUT,id-prop
adj,0x0318,ちいさい,SMALL,direct
adj,0x0319,ちいさな,SMALL,direct
adj,0x0319,けわしい,SMALL,id-prop
adj,0x031c,あらしの,,
adj,0x031d,しらない,EGG,id-prop
adj,0x031e,まわりの,,
adj,0x031f,あやしい,,
adj,0x0320,とらっぷ,TRAP,direct
adj,0x0323,かくしの,TROPHY,id-prop
adj,0x0323,ねじれた,TROPHY,id-prop
adj,0x0325,きいろい,YELLOW,direct
adj,0x0330,ぜんぶを,PUSH,id-prop
adj,0x02d8,くろい,BLACK,direct
adj,0x02da,あおい,BLUE,direct
adj,0x02dc,すんだ,CONTROL,id-prop
adj,0x02e2,くらい,,
adj,0x02e6,しんだ,DEAD,direct
adj,0x02e7,わるい,RUSTY,id-prop
adj,0x02ee,まえの,,
adj,0x02f4,がいど,,
adj,0x02f7,あつい,,
adj,0x02f9,やけた,WHITE,id-prop
adj,0x02f9,うえた,WHITE,id-prop
adj,0x02fa,ながい,LEAVE,id-prop
adj,0x0301,せまい,NARROW,direct
adj,0x0306,ふるい,OLD,direct
adj,0x0308,あかい,RED,direct
adj,0x030e,さびた,RUSTY,direct
adj,0x0310,くさい,SMELLY,direct
adj,0x031a,つあー,,
adj,0x0322,かくし,,
adj,0x0323,にしの,TROPHY,id-prop
adj,0x032c,しろい,WHITE,direct
adj,0x032d,ぜんぶ,BOARD,id-prop
adj,0x02dd,アイテム,BROWN,id-prop
adj,0x02e6,悪い,DEAD,id-prop
adj,0x02dd,隠れている,BROWN,id-prop
adj,0x0303,応答する,REACT,direct
adj,0x02dd,怪しい,BROWN,id-prop
adj,0x0320,隠しの,TRAP,id-prop
adj,0x0323,黄色い,YELLOW,direct
adj,0x0330,押す,PUSH,direct
adj,0x0315,隠し,,
adj,0x0323,塊,TROPHY,id-prop
adj,0x032e,寄りかかる,LEAN,direct
adj,0x0307,開く,OPEN UP,direct
adj,0x02f2,空気を抜く,DEFLATE,direct
adj,0x02f2,強奪する,ROB,direct
adj,0x0328,吸血きの,,
adj,0x0328,去って,,
adj,0x02ed,飢えた,,
adj,0x02fa,去る,LEAVE,direct
adj,0x02d8,狭い,NARROW,direct
adj,0x0306,金,GOLD,direct
adj,0x02db,御影いしの,GRANITE,direct
adj,0x02f6,携帯ようの,,
adj,0x02f8,穴の空いた,,
adj,0x030d,穴のあいた,RETREAT,id-prop
adj,0x030d,後退する,RETREAT,direct
adj,0x02db,御影石の,GRANITE,direct
adj,0x02f6,携帯用の,,
adj,0x02f8,撃って,,
adj,0x02d6,古代の,ANCIENT,direct
adj,0x02d7,古風な,BLOODY,id-prop
adj,0x02d7,険しい,BLOODY,id-prop
adj,0x031c,撃つ,,
adj,0x0308,鍵,KEY,direct
adj,0x0312,航海に適した,BOARDED,id-prop
adj,0x0312,降ろされた,BOARDED,id-prop
adj,0x0302,攻撃する,ATTACK,direct
adj,0x02e8,降りる,DESCEND,direct
