table,index,text_len,kind,jp_preview
msg777,504,1389,subwindow,{room143}\nのそばの枝には小さな{obj143}が<16>{room144}{obj143}の中には高価な{o
msg777,510,133,subwindow,{room77}ボトルが１本、{obj57}の上に<16>{room232}{room79}ラムセス.U世の埋葬に使われ
msg777,520,1043,subwindow,{obj57}の上に、{obj84}が<16>{room85}{room86}死んだ冒険家が持っていたらしい、使い物にな
msg777,522,937,subwindow,{room88}電池式の{obj88}が{obj65}の上に<16>{obj88}（電池式）{room6}{room89
msg777,528,523,subwindow,{room127}{obj65}の中には、地図と思われる羊皮紙が<16>地図には３カ所の{obj156}がある{obj3
msg777,534,67,subwindow,{room66}{room67}{obj67}{obj6}細かい彫刻が刻まれて<11>{room68}{room69}{
msg777,540,556,subwindow,{room126}{obj65}の上には、とても古い{obj126}がぶら下が<18>{room127}{obj65}の
msg777,543,138,subwindow,{room72}{room73}{room74}{room75}{room76}{room77}ボトルが１本、{obj5
msg777,546,68,subwindow,{room65}{room66}{room67}{obj67}{obj6}細かい彫刻が刻まれて<11>{room68}{
msg777,552,631,subwindow,{room125}刻まれた文字は「この先はある理由により封印されているものなり」と書いてある<14>{room126}{
msg777,555,518,subwindow,{room46}{room47}{room48}{room49}{room50}{obj49}の上には、大きな{obj5
msg777,558,228,subwindow,{room138}壁に軽く張りつけられているのは、紙の{obj138}<15>おめでとう！<0c><0c>\nは{obj
msg777,567,969,subwindow,{room87}コインでふくらんでいる古びた{obj87}が<16>{room88}電池式の{obj88}が{obj65
msg777,570,1031,subwindow,{room85}{room86}死んだ冒険家が持っていたらしい、使い物にならない燃えつきた{obj17}が<16>{ro
msg777,573,1030,subwindow,{room86}死んだ冒険家が持っていたらしい、使い物にならない燃えつきた{obj17}が<16>{room87}コイン
msg777,576,639,subwindow,{room117}{room118}{room119}{room120}{room121}{room122}{room1
msg777,579,659,subwindow,{room113}{obj85}のかたわらに{obj113}が<16>{room114}{room115}{room11
msg777,582,66,subwindow,{room67}{obj67}{obj6}細かい彫刻が刻まれて<11>{room68}{room69}{obj196}辺
msg777,585,0,subwindow,<1f>
msg777,588,79,subwindow,{room81}{room82}{obj21}（しかもとても美しい）{obj20}{room6}{room83}小さな立
msg777,603,368,subwindow,{room104}{obj225}には大きな{obj104}が<16>{room105}虹の果てには金の壷が<16>{r
msg777,606,634,subwindow,{room122}{room123}{room124}{room125}刻まれた文字は「この先はある理由により封印されて
msg777,609,633,subwindow,{room123}{room124}{room125}刻まれた文字は「この先はある理由により封印されているものなり」と書
msg777,615,59,subwindow,{room40}{room41}{obj254}<07>{obj254}<08>転がっているのは、見事な{obj41}<
msg777,618,58,subwindow,{room41}{obj254}<07>{obj254}<08>転がっているのは、見事な{obj41}<05>\nに{o
msg777,619,57,subwindow,{obj254}<07>{obj254}<08>転がっているのは、見事な{obj41}<05>\nに{obj254}<0
msg777,621,515,subwindow,{room49}{room50}{obj49}の上には、大きな{obj50}が開いた状態で置かれて<01>開かれているの
msg777,624,562,subwindow,{room45}真っ赤に焼けた{room45}{obj225}には、真っ赤に焼けた{obj45}が転が<18>{room
msg777,627,514,subwindow,{room50}{obj49}の上には、大きな{obj50}が開いた状態で置かれて<01>開かれているのは５６９ページ<
msg777,629,445,subwindow,戒律（命令）　１２５９２番<0c><0c>お　お、汝ら、「やあ{obj224}<0c>　　さん！」と<0c>　　熱心に語
msg777,633,110,subwindow,{room79}ラムセス.U世の埋葬に使われた{obj79}{room6}{room80}{room81}{room82
msg777,636,516,subwindow,{room137}古い彫刻のある壁が<16>洞窟の壁である自然石に、名も知れぬ者の手によって彫刻が彫られて<01>それら
msg777,639,1009,subwindow,{room130}{room131}{obj130}の上には象牙でできた{obj131}が燃えて<11>{room132
msg777,642,332,subwindow,{room106}{obj106}は、今日ではめったに用いられない古代の草書体で記されて<01>{obj106}は、いつ
msg777,648,355,subwindow,{room52}宝石で飾られている、尖った{obj52}が<06>元気なあなたには必要ないかもしれませんが、振りかざせば
msg777,651,1008,subwindow,{room131}{obj130}の上には象牙でできた{obj131}が燃えて<11>{room132}受付の机の上にあ
msg777,654,69,subwindow,{room64}{room65}{room66}{room67}{obj67}{obj6}細かい彫刻が刻まれて<11>{
msg777,657,517,subwindow,{room47}{room48}{room49}{room50}{obj49}の上には、大きな{obj50}が開いた状態
msg777,660,71,subwindow,{room62}{room63}{room64}{room65}{room66}{room67}{obj67}{obj6
msg777,663,516,subwindow,{room48}{room49}{room50}{obj49}の上には、大きな{obj50}が開いた状態で置かれて<01
msg777,666,1390,subwindow,{room142}{room143}\nのそばの枝には小さな{obj143}が<16>{room144}{obj143}
msg777,672,977,subwindow,{room132}受付の机の上にある数冊の{obj132}には「{obj10}」と書かれて<11>{obj10}<0c>
msg777,675,748,subwindow,{room91}{room92}{room93}{room94}{room95}ここに{obj95}が<06>２つ折りの
msg777,678,744,subwindow,{room95}ここに{obj95}が<06>２つ折りのカバーには「美しき{obj10}を訪ねよう」と書かれて<11><
msg777,684,70,subwindow,{room63}{room64}{room65}{room66}{room67}{obj67}{obj6}細かい彫刻が刻
msg777,687,640,subwindow,{room116}{room117}{room118}{room119}{room120}{room121}{room1
msg777,693,48,subwindow,{room135}{obj29}磨き{obj135}のようなもの{room6}フロボズ魔法物質会社<0c>多目的物質
msg777,696,1391,subwindow,{room141}{room142}{room143}\nのそばの枝には小さな{obj143}が<16>{room144
msg777,699,72,subwindow,{room60}{room62}{room63}{room64}{room65}{room66}{room67}{obj
msg777,705,907,subwindow,{room89}{room90}{obj90}が一通、{obj225}に落ちて<11>{obj233}の世界へようこそ！
msg777,708,417,subwindow,{room103}ここに折りたたんだビニールが<06>小さなバルブがついて<11>{room104}{obj225}には
msg777,711,353,subwindow,{room105}虹の果てには金の壷が<16>{room106}{obj106}は、今日ではめったに用いられない古代の草
msg777,714,642,subwindow,{room114}{room115}{room116}{room117}{room118}{room119}{room1
msg777,717,635,subwindow,{room121}{room122}{room123}{room124}{room125}刻まれた文字は「この先はある理
msg777,720,638,subwindow,{room118}{room119}{room120}{room121}{room122}{room123}{room1
msg777,726,641,subwindow,{room115}{room116}{room117}{room118}{room119}{room120}{room1
msg777,729,637,subwindow,{room119}{room120}{room121}{room122}{room123}{room124}{room1
msg777,732,55,subwindow,{room83}小さな立像があります。ヒスイでつくられた美しい像です。
msg777,738,747,subwindow,{room92}{room93}{room94}{room95}ここに{obj95}が<06>２つ折りのカバーには「美し
msg777,741,632,subwindow,{room124}{room125}刻まれた文字は「この先はある理由により封印されているものなり」と書いてある<14>{
msg777,747,62,subwindow,{room53}{room54}{room56}{room57}{room58}{obj57}の上には、細長くて茶色い袋
msg777,757,6,subwindow,部屋の
msg777,761,12,subwindow,ぶら下がって
msg777,762,12,subwindow,赤とうがらし
rooms98,6,1,subwindow,F
